epoch,accuracy,loss,val_accuracy,val_loss
0,0.2881944477558136,1.9934687614440918,0.5,1.5248318910598755
1,0.5399305820465088,1.424636960029602,0.6171875,1.1916015148162842
2,0.6171875,1.2231903076171875,0.671875,1.0596212148666382
3,0.6935763955116272,0.9944069981575012,0.7578125,0.8921482563018799
4,0.7630208134651184,0.8146001100540161,0.78125,0.714706301689148
5,0.7960069179534912,0.7072010040283203,0.8046875,0.7079999446868896
6,0.8359375,0.5999270081520081,0.8046875,0.587243914604187
7,0.8394097089767456,0.5883480906486511,0.8671875,0.5107746720314026
8,0.8802083134651184,0.43403974175453186,0.84375,0.5012803673744202
9,0.8897569179534912,0.39848482608795166,0.9140625,0.43344736099243164
10,0.9192708134651184,0.34617331624031067,0.859375,0.4256220757961273
11,0.9401041865348816,0.29488152265548706,0.875,0.41342735290527344
12,0.9444444179534912,0.2657087445259094,0.9140625,0.36678728461265564
13,0.9479166865348816,0.2486538141965866,0.8359375,0.5172653198242188
14,0.9305555820465088,0.2752867341041565,0.9140625,0.3557548522949219
